result_id,family,design_group,anchor,pdf_page,combined_pdf_page,printed_page_label,date,status,decision,summary_path,machine_record_path
cross-course-quality-development-001-live-002,Response generation and revision,Instructional generation and repair,trial-599221621f07,70,105,S-70,2026-09-06,"Partial integration failure: 24/44 external responses accepted, 20 malformed; four injected timeouts",Refine transport and explanatory-profile override; assistant review separate from unqualified 28/44 versus 19/44 diagnostics,research/05_evaluation/cross-course-quality-development-001-live-002-results.md,research/05_evaluation/records/cross-course-quality-development-001-live-002.json
schema18-foundation-development-20260906-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-76e8b860d482,225,260,S-225,2026-09-06,Completed: 42/42; schema18 clean restore; zero external calls,Go Deeper to exact deployed candidate; no capacity/quality qualification,research/05_evaluation/schema18-foundation-development-20260906-001-results.md,research/05_evaluation/records/schema18-foundation-development-20260906-001.json
cross-course-quality-development-001-live-001,Response generation and revision,Instructional generation and repair,trial-52836a1e55ca,69,104,S-69,2026-09-06,Integration failed: all 44 external responses rejected by missing transport task validator; four injected timeouts separate,Refine transport and runner classification; 28/44 versus 6/44 diagnostics are not model-quality comparison,research/05_evaluation/cross-course-quality-development-001-live-001-results.md,research/05_evaluation/records/cross-course-quality-development-001-live-001.json
teaching-profile-responsiveness-development-001-live-001,Instructor configuration and teaching policy,Instructor policy and profile alignment,trial-a2add7a20354,115,150,S-115,2026-09-05,Refine: style diagnostic 3/6 in both; delivered content differs in 2/3 candidate pairs,Do not promote; renderer exposes full explanation in Socratic mode,research/05_evaluation/teaching-profile-responsiveness-development-001-live-001-results.md,research/05_evaluation/records/teaching-profile-responsiveness-development-001-live-001.json
final-profile-live-longitudinal-development-001-live-001,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-559639cea75f,245,280,S-245,2026-09-05,"36/36 actual model calls, four restarts, zero recorded timing violations",Keep wiring; no quality or release pass,research/05_evaluation/final-profile-live-longitudinal-development-001-live-001-results.md,research/05_evaluation/records/final-profile-live-longitudinal-development-001-live-001.json
natural-course-quality-development-v1-contract-baseline-001,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-88d2ec164be5,246,281,S-246,2026-09-05,Completed development: 11/12 exact-span/citation checks and 3/4 boundaries; zero model/client calls,"Refine query-to-evidence adequacy; retain both failures, no live-quality claim",research/05_evaluation/natural-course-quality-development-v1-contract-baseline-001-results.md,research/05_evaluation/records/natural-course-quality-development-v1-contract-baseline-001.json
final-profile-live-longitudinal-development-001-contract-001,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-4c85babd5225,244,279,S-244,2026-09-05,"Completed contract smoke, zero real model calls",Keep harness development only; no live or release pass,research/05_evaluation/final-profile-live-longitudinal-development-001-contract-001-results.md,research/05_evaluation/records/final-profile-live-longitudinal-development-001-contract-001.json
local-r1-governed-v2-1-release-qualification-011,"Persistence, delivery and operations",Local deployment and service continuity,trial-68feef30f065,216,251,S-216,2026-09-05,"Completed Keep: 43/43 operational checks, 51/51 container tests, browser smoke and log audit passed",Keep corrected local operations; retain 010/T0 rollback and factual-quality limits,research/05_evaluation/local-r1-governed-v2-1-release-qualification-011-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-011.json
final-cross-method-factual-confirmation-001-analysis-correction-001,Evaluation instruments and evidence governance,Measurement correction and semantic review,trial-fdaf86de41d0,260,295,S-260,2026-09-05,Completed analysis correction,Refine unchanged; disclose vacuous citation validity and missing local raw artifacts,research/05_evaluation/final-cross-method-factual-confirmation-001-analysis-correction-001-results.md,research/05_evaluation/records/final-cross-method-factual-confirmation-001-analysis-correction-001.json
governed-full-autonomy-v2-1-final-release-binding-001,Autonomous orchestration,Bounded autonomous tutoring,trial-942bddedaa03,166,201,S-166,2026-09-05,"Completed binding: explicit BM25, dominance gate, deterministic factual generator, Luna H+E1 orchestration, text/OCR fallback, profile hash, and T0 rollback",Keep the exact governed T1-v2 composition for local HTTPS qualification; retain factual Refine and visual Drop boundaries,research/05_evaluation/governed-full-autonomy-v2-1-final-release-binding-001-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-final-release-binding-001.json
true-visual-omni-confirmation-002,Multimodal evidence,Visual retrieval and source-region grounding,trial-440b4d6ea0c5,66,101,S-66,2026-09-05,Completed Refine: Jina v5 reached 16/30 fully grounded versus 26/30 for text/OCR; both had zero boundary releases,Drop Jina v5 omni from release selection; retain text/OCR fallback without a representative visual-quality claim,research/05_evaluation/true-visual-omni-confirmation-002-results.md,research/05_evaluation/records/true-visual-omni-confirmation-002.json
final-cross-method-factual-confirmation-001-attempt-001-invalid,Retrieval and factual grounding,Text retrieval and factual answers,trial-797464624668,55,90,S-55,2026-09-05,Invalid before the first response because the synthetic course owner and domain-model approver identities differed,"Apply the one permitted identity-binding correction; do not change methods, data, gold, gates, or selection rules",research/05_evaluation/final-cross-method-factual-confirmation-001-attempt-001-invalid-results.md,research/05_evaluation/records/final-cross-method-factual-confirmation-001-attempt-001-invalid.json
professor-fidelity-proxy-c0-c3-003-analysis-correction-001,Evaluation instruments and evidence governance,Measurement correction and semantic review,trial-3265c0cbed79,261,296,S-261,2026-09-05,"Completed Refine: transport, identity, and accounting were valid, but 3/12 C0 abstentions had empty responses; overall non-empty completeness 45/48; review never began","Treat the model-output contract failure as quality evidence, make no profile-uplift claim, and do not tune or rerun the same packet",research/05_evaluation/professor-fidelity-proxy-c0-c3-003-analysis-correction-001-results.md,research/05_evaluation/records/professor-fidelity-proxy-c0-c3-003-analysis-correction-001.json
professor-fidelity-proxy-c0-c3-003,Instructor configuration and teaching policy,Instructor policy and profile alignment,trial-da0f54588228,115,150,S-115,2026-09-05,Raw runner invalid after 48/48 completed calls: 3 C0 abstentions violated the non-empty response contract; 0/24 advisory reviews ran,Preserve the raw status and use the separate analysis correction for the stricter Refine interpretation,research/05_evaluation/professor-fidelity-proxy-c0-c3-003-invalid-results.md,research/05_evaluation/records/professor-fidelity-proxy-c0-c3-003-invalid.json
local-r1-governed-v2-1-release-qualification-008,"Persistence, delivery and operations",Local deployment and service continuity,trial-be4fce4ca82f,214,249,S-214,2026-09-05,"Completed Keep: 25/25 live, 6/6 restart, 6/6 clean restore, 3/3 T0 rollback, 3/3 V2.1 restoration; desktop/exact 390x844 smoke passed",Keep the local R1.2 research demo; retain text/OCR fallback and R1.1/T0 rollback boundaries,research/05_evaluation/local-r1-governed-v2-1-release-qualification-008-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-008.json
local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid,"Persistence, delivery and operations",Local deployment and service continuity,trial-ba30ea5291db,215,250,S-215,2026-09-05,"Invalid after 25/25 HTTPS and 6/6 restart checks: offline backup startup incorrectly required an inference credential, so restore and rollback were not evaluated","Fix the shared offline-administration configuration boundary once, preserve runtime credential enforcement, and rerun from a fresh clean revision/stack",research/05_evaluation/local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid.json
stateful-clarification-confirmation-001,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-77c3adb01df2,246,281,S-246,2026-09-05,"Completed Keep: candidate grounded completion 100% versus fail-closed control 25% (+75 points), with 100% boundary, invalid-reply, source-version, restart, and idempotency checks",Carry `stateful-source-clarification-v1` into exact local R1.2 requalification; retain R1.1 as rollback until it passes,research/05_evaluation/stateful-clarification-confirmation-001-results.md,research/05_evaluation/records/stateful-clarification-confirmation-001.json
true-visual-colpali-confirmation-001,Multimodal evidence,Visual retrieval and source-region grounding,trial-64e02caff1dd,65,100,S-65,2026-09-04,Completed Go Deeper: candidate reached 28/30 complete evidence@3 and 30/30 recall@5 versus 18/30 and 18/30 for BM25; all retrieval gates passed,Carry the candidate into one actual-product answer/boundary/citation checkpoint; do not yet select or claim representative multimodal product capability,research/05_evaluation/true-visual-colpali-confirmation-001-results.md,research/05_evaluation/records/true-visual-colpali-confirmation-001.json
local-r1-governed-v2-1-release-qualification-006,"Persistence, delivery and operations",Local deployment and service continuity,trial-7c466bf946e9,211,246,S-211,2026-09-04,"Completed Keep: 25/25 live, 6/6 restart, 6/6 clean restore, 3/3 T0 rollback, 3/3 V2.1 restoration, and no critical browser defect",Keep the exact local research demo with T0 rollback; retain academic grounding No Release and the visual/fidelity claim boundaries,research/05_evaluation/local-r1-governed-v2-1-release-qualification-006-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-006.json
local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid,"Persistence, delivery and operations",Local deployment and service continuity,trial-39ba7798f562,211,246,S-211,2026-09-04,Invalid execution before journey: the API correctly rejected a documentation-only profile edit because it changed the frozen profile hash,"Restore only the exact immutable profile bytes, preserve the failure, rebuild, and permit one binding-only corrective attempt",research/05_evaluation/local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid.json
governed-full-autonomy-v2-1-multi-concept-confirmation-025,Learner state and timing,Learner estimation and intervention timing,trial-78f32fa6dea3,125,160,S-125,2026-09-04,"Completed Keep: both reactive and autonomous T1-v2 reached 100% attribution, assessment agreement, and attempt recognition with zero timing violations or provider calls",Keep the correction for exact local requalification; retain weak next-outcome prediction and 32.9% wasted interventions as limitations,research/05_evaluation/governed-full-autonomy-v2-1-multi-concept-confirmation-025-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-multi-concept-confirmation-025.json
local-r1-governed-v2-1-release-qualification-005,"Persistence, delivery and operations",Local deployment and service continuity,trial-81cf08f0124f,210,245,S-210,2026-09-04,"Completed Keep for local research demo: 25/25 live journey, 6/6 restart, 6/6 clean restore, 3/3 T0 rollback, 3/3 governed restoration",Keep the exact local operational composition with T0 rollback; retain academic factual grounding as No Release,research/05_evaluation/local-r1-governed-v2-1-release-qualification-005-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-005.json
grounding-floor-audit-reproduction-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-f1f426893092,209,244,S-209,2026-09-04,Completed corrected: answerable factual success is 42.50% versus 26.00%; the historical 50.00% versus 36.80% values are overall task success; central tie-safety finding reproduced but every historical count was not,"Keep the relative development selection, correct its claim, and treat the four audits as bounded mechanism evidence rather than proof of a universal task floor",research/05_evaluation/grounding-floor-audit-reproduction-001-results.md,research/05_evaluation/records/grounding-floor-audit-reproduction-001.json
governed-full-autonomy-v2-1-release-binding-correction-001,Autonomous orchestration,Bounded autonomous tutoring,trial-7f73411cc07e,166,201,S-166,2026-09-04,"Completed binding correction: exact Luna H+E1, dominance gate, deterministic generator, profile hash, and T0 rollback are composed without creating new quality evidence",Use only for fresh local HTTPS qualification 005; it does not retroactively qualify the composed release or create an absolute grounding pass,research/05_evaluation/../04_experiments/2026-09-04-local-r1-governed-v2-1-release-qualification-005-plan.md,research/05_evaluation/records/governed-full-autonomy-v2-1-release-binding-correction-001.json
wrong-region-selection-audit-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-238c75b371f6,213,248,S-213,2026-09-04,"Completed no change: 42 of 44 cite the right document and the wrong region, the gold region is retrieved in 41 and falls below the coverage threshold in 31, and it is outranked after clearing the threshold in zero","Ship nothing; lowering the threshold from 0.50 to 0.25 leaves gold unchanged while doubling wrong leaders, so the measure itself is what limits grounding",research/05_evaluation/wrong-region-selection-audit-001-results.md,research/05_evaluation/records/wrong-region-selection-audit-001.json
tie-resolution-hypothesis-audit-001,"Persistence, delivery and operations",Local deployment and service continuity,trial-96907f3b9afd,212,247,S-212,2026-09-04,"Completed no change: three mechanisms measured before implementation and all three discarded; the best secondary tiebreaker picks a wrong region in 61 of 184, and the public title anchor narrows zero ties",Ship nothing; keep refusing genuine ties and record what the measurements rule out,research/05_evaluation/tie-resolution-hypothesis-audit-001-results.md,research/05_evaluation/records/tie-resolution-hypothesis-audit-001.json
local-r1-governed-v2-1-release-qualification-004,"Persistence, delivery and operations",Local deployment and service continuity,trial-592be51efbe1,210,245,S-210,2026-09-04,"Completed Keep: 25/25 live HTTPS journey, 6/6 restart persistence, 6/6 T0 rollback, 6/6 governed V2.1 restoration","Ship `dominance-scoped-ambiguity-safe-v3`, the gate selection 004 promoted, with T0 as the one-setting rollback",research/05_evaluation/local-r1-governed-v2-1-release-qualification-004-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-004.json
product-evidence-gate-selection-004,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-183c1da704b6,244,279,S-244,2026-09-04,Historical record promoted the candidate using 50.00% versus 36.80% labelled as factual success; correction 001 establishes these are overall rates and the factual rates are 42.50% versus 26.00%; severe releases and operational failures remain zero,"Keep the relative selection of `dominance-scoped-ambiguity-safe-v3`, subject to exact local qualification; do not claim an absolute grounding pass",research/05_evaluation/product-evidence-gate-selection-004-results.md,research/05_evaluation/records/product-evidence-gate-selection-004.json
evidence-range-match-correction-001,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-6cb22b93cbd5,241,276,S-241,2026-09-04,"Adopted: identical decisions on every sealed pair and an identical 50 failures, 561 passes and 22 errors before and after",Compare region identities only when both sides declare one; otherwise consult the canonical character range,research/05_evaluation/product-evidence-gate-selection-004-results.md,research/05_evaluation/records/product-evidence-gate-selection-004.json
product-evidence-gate-selection-003,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-d7be3689e222,243,278,S-243,2026-09-04,"Completed: both arms 16.00% under registered scoring, so the candidate is not promoted; it moves 69 cases from clarify to answer with exact gold citations that score zero because the citation matcher short-circuits on region identity","Keep `question-targeted-ambiguity-safe-v2`; record the successor as implemented, measured and unpromoted, and the contract defect as the named blocker",research/05_evaluation/product-evidence-gate-selection-003-results.md,research/05_evaluation/records/product-evidence-gate-selection-003.json
product-evidence-gate-selection-002,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-cdd169b3115a,243,278,S-243,2026-09-04,Completed: incumbent `question-targeted-ambiguity-safe-v2` 16.00% fully grounded factual success against the candidate's 9.40% and the v3 reference's identical 9.40%; zero severe unsupported releases and operational failures in every arm,Keep `question-targeted-ambiguity-safe-v2`; the candidate stays unpromoted and no re-qualification is required,research/05_evaluation/product-evidence-gate-selection-002-results.md,research/05_evaluation/records/product-evidence-gate-selection-002.json
local-r1-governed-v2-1-release-qualification-003,"Persistence, delivery and operations",Local deployment and service continuity,trial-4f608ebf049a,209,244,S-209,2026-09-04,"Completed Keep: 25/25 live HTTPS journey, 6/6 restart persistence, 6/6 T0 rollback, 6/6 governed V2.1 restoration",Keep the governed V2.1 local release with T0 as the one-setting rollback; qualification 002 described a revision the next commit could no longer start,research/05_evaluation/local-r1-governed-v2-1-release-qualification-003-results.md,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-003.json
product-evidence-gate-selection-001,Evaluation instruments and evidence governance,Benchmark construction and evaluation process,trial-b5e12e9df6d4,242,277,S-242,2026-09-04,Completed: incumbent `question-targeted-ambiguity-safe-v2` 15.80% fully grounded factual success against the v4 candidate's 12.60% and v3's identical 12.60%; severe unsupported releases and operational failures zero in every arm,"Keep `question-targeted-ambiguity-safe-v2` in the product; record v4 as implemented but unpromoted, since promoting on confirmation 028 alone would have regressed the product",research/05_evaluation/product-evidence-gate-selection-001-results.md,research/05_evaluation/records/product-evidence-gate-selection-001.json
governed-full-autonomy-v2-1-corpus-confirmation-028,Autonomous orchestration,Bounded autonomous tutoring,trial-922b2b15c27e,165,200,S-165,2026-09-04,"Completed Keep: 670/670 passed and all twenty registered gates reached their thresholds; independent safe-grounded autonomous success 1.000; zero unauthorized actions, scope errors, invalid citations, duplicates, or unbounded loops",Keep `dominance-scoped-source-semantic-evidence-atoms-v4` as the selected grounding architecture with v3 as the recorded rollback; revoke authority and proceed to local HTTPS product qualification,research/05_evaluation/governed-full-autonomy-v2-1-corpus-confirmation-028-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-corpus-confirmation-028.json
academic-factual-qa-open-10000-winner-regression-001,Retrieval and factual grounding,Text retrieval and factual answers,trial-92eed03a470d,54,89,S-54,2026-09-03,"Completed No Release: 11 of 16 registered gates failed; 25.38% fully grounded factual success against T0's 44.16%, but severe unsupported releases fell 478 to 4 and operational failures 594 to 0","No Release; do not rerun or rescore the sealed package, and open the v4 grounding successor on a fresh corpus package",research/05_evaluation/academic-factual-qa-open-10000-winner-regression-001-results.md,research/05_evaluation/records/academic-factual-qa-open-10000-winner-regression-001.json
governed-full-autonomy-v2-1-corpus-confirmation-027-invalid,Autonomous orchestration,Bounded autonomous tutoring,trial-50561cf88cbd,155,190,S-155,2026-09-03,"Invalid execution: operator committed mid-run, so the per-case run-binding recomputation found the transport canary binding drifted; the check behaved correctly and no harness defect exists","Revoke 027, add the operational constraint that no git operation may run during an evaluation, and bind the still-unopened package to 028 with no code change",research/05_evaluation/governed-full-autonomy-v2-1-corpus-confirmation-027-invalid-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-corpus-confirmation-027-invalid.json
governed-full-autonomy-v2-1-corpus-confirmation-026-invalid,Autonomous orchestration,Bounded autonomous tutoring,trial-91cf0ee7a170,155,190,S-155,2026-09-03,Invalid execution: the process was killed mid-case and resume then failed because a killed case cannot re-install its immutable release; a pre-existing shared-harness defect never previously exercised,"Revoke 026, clear the per-case database before use, give each release chunk its own ordinal, and carry the unopened package to 027",research/05_evaluation/governed-full-autonomy-v2-1-corpus-confirmation-026-invalid-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-corpus-confirmation-026-invalid.json
governed-full-autonomy-v2-1-corpus-confirmation-025-invalid,Autonomous orchestration,Bounded autonomous tutoring,trial-72628329eaf5,154,189,S-154,2026-09-03,Invalid execution: scoring raised because the new builder did not re-export `DAY`; the recovered score passes all twenty gates and is disclosed as a diagnostic only,"Revoke 025, add the missing export and a guarded scoring-recovery entrypoint, and take the decision evidence from a fresh package",research/05_evaluation/governed-full-autonomy-v2-1-corpus-confirmation-025-invalid-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-corpus-confirmation-025-invalid.json
governed-full-autonomy-v2-1-persona-confirmation-024,Autonomous orchestration,Bounded autonomous tutoring,trial-e02cc1989b5f,157,192,S-157,2026-09-03,"Completed Keep: 670/670 passed; all registered action, safety, fallback, restart, transition, termination, and proactive-lineage gates reached 100%; zero unauthorized actions, scope errors, invalid citations, duplicates, or unbounded loops","Keep T1-v2 autonomous as the release candidate; revoke authority and proceed to labelled known 10,000+1,000 regression plus local HTTPS qualification",research/05_evaluation/governed-full-autonomy-v2-1-persona-confirmation-024-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-persona-confirmation-024.json
governed-full-autonomy-v2-1-persona-confirmation-023,Autonomous orchestration,Bounded autonomous tutoring,trial-a379797fc60a,156,191,S-156,2026-09-03,Invalid execution: USD 3 instrument ceiling contradicted the shared runner's USD 5 minimum projected-stop rounding,"Revoke 023, draw no quality conclusion, and permit one harness-only 024 changing only the ceiling",research/05_evaluation/governed-full-autonomy-v2-1-persona-confirmation-023-invalid-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-persona-confirmation-023-invalid.json
governed-full-autonomy-v2-1-persona-confirmation-023-build,Autonomous orchestration,Bounded autonomous tutoring,trial-fc25cb96ceb2,156,191,S-156,2026-09-03,"Build-only Go Deeper: all 670 network-free action and safety contracts passed across T0, T1-v2 reactive diagnostics, and selected T1-v2 autonomous","Freeze and execute once after clean preflight; Keep opens known 10,000+1,000 plus local HTTPS qualification, Refine ends No Release",research/05_evaluation/governed-full-autonomy-v2-1-persona-confirmation-023-build-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-persona-confirmation-023-build.json
governed-full-autonomy-v2-1-actual-product-confirmation-021,Autonomous orchestration,Bounded autonomous tutoring,trial-a7d0e2c749be,152,187,S-152,2026-09-03,"Valid frozen `completed-refine`: primary product gates and all four conditions reached 100%, but the required independent scorer labelled 60 safe post-failure fallbacks as failures","Refine / No Release; revoke authority, do not open known 10,000+1,000 or local qualification, and correct `SE7-12` prospectively without rescoring 021",research/05_evaluation/governed-full-autonomy-v2-1-actual-product-confirmation-021-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-actual-product-confirmation-021.json
governed-full-autonomy-v2-1-actual-product-confirmation-021-build,Autonomous orchestration,Bounded autonomous tutoring,trial-bb43744409ed,153,188,S-153,2026-09-03,"Build-only Go Deeper: 820/820 network-free cases and all safety contracts passed; 1,755 Python and 50 frontend tests passed","Execute confirmation 021 once; Keep opens known 10,000+1,000 regression and local HTTPS qualification, Refine ends No Release",research/05_evaluation/governed-full-autonomy-v2-1-actual-product-confirmation-021-build-results.md,research/05_evaluation/records/governed-full-autonomy-v2-1-actual-product-confirmation-021-build.json
