result_id,date,component,dataset_or_corpus,status,decision,decision_class,summary_path,summary_present,machine_record_path,machine_record_present,all_linked_evidence_paths,reproduction,registry_line
mixed-source-candidate-recovery-development-001-attempt-002,2026-09-06,Mixed-source candidate integration,One synthetic two-course scenario; PDF/text/forum,Failed harness setup: 0/0 assertions,Refine the harness setup; no product quality conclusion,refine,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-002-results.md,True,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-002.json,True,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-002-results.md;research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-002.json,Credentialed TestClient; zero external calls; retained attempt002,27
mixed-source-candidate-recovery-development-001-attempt-001,2026-09-06,Mixed-source candidate integration,One synthetic two-course scenario; PDF/text/forum,Failed harness setup: 0/0 assertions,Refine the harness setup; no product quality conclusion,refine,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-001-results.md,True,research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-001.json,True,research/05_evaluation/mixed-source-candidate-recovery-development-001-attempt-001-results.md;research/05_evaluation/records/mixed-source-candidate-recovery-development-001-attempt-001.json,Credentialed TestClient; zero external calls; retained attempt001,28
final-profile-asgi-tutoring-concurrency-development-20260906-002,2026-09-06,Bounded concurrent actual tutoring route,Same25students×4turns as serial001,100/100POST;150calls;providerpeak5;one safe graph failure,Keep explicit development concurrency;Refinequality;serialdefault retained,keep,research/05_evaluation/final-profile-asgi-tutoring-concurrency-development-20260906-002-results.md,True,research/05_evaluation/records/final-profile-asgi-tutoring-concurrency-development-20260906-002.json,True,research/05_evaluation/final-profile-asgi-tutoring-concurrency-development-20260906-002-results.md;research/05_evaluation/records/final-profile-asgi-tutoring-concurrency-development-20260906-002.json,p95 31.968s vs148.576s descriptive;USD0.0650912;hashesunchanged,29
final-profile-asgi-tutoring-concurrency-development-20260906-001,2026-09-06,Actual shared-service ASGI tutoring load,25 synthetic students × four turns,100/100 POST contracts; 150 calls; provider peak1; 94answer/3question/3no-evidence,Refine serialized budget; no quality/deployment qualification,refine,research/05_evaluation/final-profile-asgi-tutoring-concurrency-development-20260906-001-results.md,True,research/05_evaluation/records/final-profile-asgi-tutoring-concurrency-development-20260906-001.json,True,research/05_evaluation/final-profile-asgi-tutoring-concurrency-development-20260906-001-results.md;research/05_evaluation/records/final-profile-asgi-tutoring-concurrency-development-20260906-001.json,Source hashes unchanged; USD0.0646906; p95 148.576s includes queue and co-resident checks,30
cross-course-quality-development-001-live-005-failure-diagnostic-001,2026-09-06,Independent operational timeout sidecar,Read-only live005 cases and injected-timeout ledger,Four candidate closed failures confirmed; incumbent paths never reached injection,Keep separate operational diagnostic; original39/44 and all gold unchanged,keep,research/05_evaluation/cross-course-quality-development-001-live-005-failure-diagnostic-001-results.md,True,research/05_evaluation/records/cross-course-quality-development-001-live-005-failure-diagnostic-001.json,True,research/05_evaluation/cross-course-quality-development-001-live-005-failure-diagnostic-001-results.md;research/05_evaluation/records/cross-course-quality-development-001-live-005-failure-diagnostic-001.json,"Eight adversarial tests, zero new model calls; exact failure-template restriction",31
cross-course-quality-development-001-live-005,2026-09-06,Conditional-contract corrected product development,Same open 44-case synthetic packet × two arms,44/44 external responses accepted; zero unexpected failures; four injected timeouts; candidate39/44 versus incumbent28/44 mechanical diagnostics,"Go Deeper for bounded operational pilot; Refine quality, labels and profile progression; no promotion",go-deeper,research/05_evaluation/cross-course-quality-development-001-live-005-results.md,True,research/05_evaluation/records/cross-course-quality-development-001-live-005.json,True,research/05_evaluation/cross-course-quality-development-001-live-005-results.md;research/05_evaluation/records/cross-course-quality-development-001-live-005.json,USD 0.0150234; assistant review flags false negatives without altering39/44,32
cross-course-quality-development-001-live-004,2026-09-06,Conditional schema and profile-rendering development,Same open 44-case synthetic packet × two arms,Refine: 27/44 external calls accepted; 17 localized schema failures; four injected timeouts,Correct conditional schema; retain 28/44 versus 30/44 mechanical diagnostics without quality promotion,refine,research/05_evaluation/cross-course-quality-development-001-live-004-results.md,True,research/05_evaluation/records/cross-course-quality-development-001-live-004.json,True,research/05_evaluation/cross-course-quality-development-001-live-004-results.md;research/05_evaluation/records/cross-course-quality-development-001-live-004.json,USD 0.0152618; seven empty-focus and ten empty-aspect failures; label ambiguity disclosed,33
cross-course-quality-development-001-diagnostic-003,2026-09-06,Targeted response-schema and explanatory-rendering diagnostic,Two known scheduler development cases × two arms,"Completed: two external responses accepted, both explanatory outputs supported",Go Deeper: remaining schema failure not reproduced; no full-quality pass,go-deeper,research/05_evaluation/cross-course-quality-development-001-diagnostic-003-results.md,True,research/05_evaluation/records/cross-course-quality-development-001-diagnostic-003.json,True,research/05_evaluation/cross-course-quality-development-001-diagnostic-003-results.md;research/05_evaluation/records/cross-course-quality-development-001-diagnostic-003.json,"Four product cases, USD 0.0005894; no injected failures; tiny selected subset",34
cross-course-quality-development-001-live-002,2026-09-06,Question-specific product integration successor,Same open 44-case synthetic packet × two arms,"Partial integration failure: 24/44 external responses accepted, 20 malformed; four injected timeouts",Refine transport and explanatory-profile override; assistant review separate from unqualified 28/44 versus 19/44 diagnostics,refine,research/05_evaluation/cross-course-quality-development-001-live-002-results.md,True,research/05_evaluation/records/cross-course-quality-development-001-live-002.json,True,research/05_evaluation/cross-course-quality-development-001-live-002-results.md;research/05_evaluation/records/cross-course-quality-development-001-live-002.json,USD 0.0158554; preserve all failures; bounded diagnosis before another full run,35
schema18-foundation-development-20260906-001,2026-09-06,Schema18 foundation recovery,42 finite synthetic control checks,Completed: 42/42; schema18 clean restore; zero external calls,Go Deeper to exact deployed candidate; no capacity/quality qualification,go-deeper,research/05_evaluation/schema18-foundation-development-20260906-001-results.md,True,research/05_evaluation/records/schema18-foundation-development-20260906-001.json,True,research/05_evaluation/schema18-foundation-development-20260906-001-results.md;research/05_evaluation/records/schema18-foundation-development-20260906-001.json,"AnyHit/TestClient; 100 sequential course-list GETs, not model-backed tutoring load",36
cross-course-quality-development-001-live-001,2026-09-06,Actual-product question-specific generation integration,44 open synthetic development cases × incumbent/candidate,Integration failed: all 44 external responses rejected by missing transport task validator; four injected timeouts separate,Refine transport and runner classification; 28/44 versus 6/44 diagnostics are not model-quality comparison,refine,research/05_evaluation/cross-course-quality-development-001-live-001-results.md,True,research/05_evaluation/records/cross-course-quality-development-001-live-001.json,True,research/05_evaluation/cross-course-quality-development-001-live-001-results.md;research/05_evaluation/records/cross-course-quality-development-001-live-001.json,"88 cases, USD 0.015131; preserve raw misleading runner label and all failures",37
teaching-profile-responsiveness-development-001-live-001,2026-09-05,Approved profile context responsiveness,"24 fresh synthetic cases, two profiles and two context conditions",Refine: style diagnostic 3/6 in both; delivered content differs in 2/3 candidate pairs,Do not promote; renderer exposes full explanation in Socratic mode,refine,research/05_evaluation/teaching-profile-responsiveness-development-001-live-001-results.md,True,research/05_evaluation/records/teaching-profile-responsiveness-development-001-live-001.json,True,research/05_evaluation/teaching-profile-responsiveness-development-001-live-001-results.md;research/05_evaluation/records/teaching-profile-responsiveness-development-001-live-001.json,12 actual Luna calls; no independent human fidelity review,38
final-profile-live-longitudinal-development-001-live-001,2026-09-05,Final-profile live integration,"Four fresh synthetic histories, seven virtual days","36/36 actual model calls, four restarts, zero recorded timing violations",Keep wiring; no quality or release pass,keep,research/05_evaluation/final-profile-live-longitudinal-development-001-live-001-results.md,True,research/05_evaluation/records/final-profile-live-longitudinal-development-001-live-001.json,True,research/05_evaluation/final-profile-live-longitudinal-development-001-live-001-results.md;research/05_evaluation/records/final-profile-live-longitudinal-development-001-live-001.json,Dirty revision; synthetic fixture; stale authorization metadata corrected in record,39
natural-course-quality-development-v1-contract-baseline-001,2026-09-05,Natural query and answer adequacy,"Four synthetic sources, 12 answerable questions and four boundaries; labels pending researcher review",Completed development: 11/12 exact-span/citation checks and 3/4 boundaries; zero model/client calls,"Refine query-to-evidence adequacy; retain both failures, no live-quality claim",refine,research/05_evaluation/natural-course-quality-development-v1-contract-baseline-001-results.md,True,research/05_evaluation/records/natural-course-quality-development-v1-contract-baseline-001.json,True,research/05_evaluation/natural-course-quality-development-v1-contract-baseline-001-results.md;research/05_evaluation/records/natural-course-quality-development-v1-contract-baseline-001.json,New output directory; fake-client baseline through final factory; execution harness hashes not captured,40
final-profile-live-longitudinal-development-001-contract-001,2026-09-05,Production-factory longitudinal harness,Four synthetic three-day histories; injected malformed client,"Completed contract smoke, zero real model calls",Keep harness development only; no live or release pass,keep,research/05_evaluation/final-profile-live-longitudinal-development-001-contract-001-results.md,True,research/05_evaluation/records/final-profile-live-longitudinal-development-001-contract-001.json,True,research/05_evaluation/final-profile-live-longitudinal-development-001-contract-001-results.md;research/05_evaluation/records/final-profile-live-longitudinal-development-001-contract-001.json,New output directory; [plan](../04_experiments/2026-09-05-project-completion-plan.md),41
local-r1-governed-v2-1-release-qualification-011,2026-09-05,Runtime correctness fixes and local release operations,Versioned synthetic HTTPS journey and 51 built-image regression tests,"Completed Keep: 43/43 operational checks, 51/51 container tests, browser smoke and log audit passed",Keep corrected local operations; retain 010/T0 rollback and factual-quality limits,keep,research/05_evaluation/local-r1-governed-v2-1-release-qualification-011-results.md,True,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-011.json,True,research/05_evaluation/local-r1-governed-v2-1-release-qualification-011-results.md;research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-011.json,Clean source `d9ec1a8`; [plan](../04_experiments/2026-09-05-local-r1-governed-v2-1-release-qualification-011-plan.md); local runbook with isolated ports 8454/8455,42
final-cross-method-factual-confirmation-001-analysis-correction-001,2026-09-05,Source-version reporting and evidence retention,Existing committed aggregate and read-only response metadata; no new cases,Completed analysis correction,Refine unchanged; disclose vacuous citation validity and missing local raw artifacts,refine,research/05_evaluation/final-cross-method-factual-confirmation-001-analysis-correction-001-results.md,True,research/05_evaluation/records/final-cross-method-factual-confirmation-001-analysis-correction-001.json,True,research/05_evaluation/final-cross-method-factual-confirmation-001-analysis-correction-001-results.md;research/05_evaluation/records/final-cross-method-factual-confirmation-001-analysis-correction-001.json,Arithmetic only: (717-2)/800 and (717-2)/(800-2); no rerun or rescore,43
governed-full-autonomy-v2-1-final-release-binding-001,2026-09-05,Exact final local release provenance and configuration binding,"Fresh 1,000-case factual result plus immutable 670-case autonomy and fresh 72-case multi-concept evidence","Completed binding: explicit BM25, dominance gate, deterministic factual generator, Luna H+E1 orchestration, text/OCR fallback, profile hash, and T0 rollback",Keep the exact governed T1-v2 composition for local HTTPS qualification; retain factual Refine and visual Drop boundaries,keep,research/05_evaluation/governed-full-autonomy-v2-1-final-release-binding-001-results.md,True,research/05_evaluation/records/governed-full-autonomy-v2-1-final-release-binding-001.json,True,research/05_evaluation/governed-full-autonomy-v2-1-final-release-binding-001-results.md;research/05_evaluation/records/governed-full-autonomy-v2-1-final-release-binding-001.json,Zero new provider calls; binding revision `8b71108`; final profile hash `7a246595...`; exact HTTPS qualification still required,44
true-visual-omni-confirmation-002,2026-09-05,Current single-vector multimodal retrieval in the actual product,Fresh source-disjoint 30 public networking assets / 30 answerable + 30 boundary per condition,Completed Refine: Jina v5 reached 16/30 fully grounded versus 26/30 for text/OCR; both had zero boundary releases,Drop Jina v5 omni from release selection; retain text/OCR fallback without a representative visual-quality claim,refine,research/05_evaluation/true-visual-omni-confirmation-002-results.md,True,research/05_evaluation/records/true-visual-omni-confirmation-002.json,True,research/05_evaluation/true-visual-omni-confirmation-002-results.md;research/05_evaluation/records/true-visual-omni-confirmation-002.json,"Clean revision `0fc6b31`; 90 first-party Jina calls, 10,087 tokens, p95 1.11s, USD 0; no rerun or same-case tuning",45
final-cross-method-factual-confirmation-001-attempt-001-invalid,2026-09-05,Fresh final factual cross-method comparison harness,"Sealed source-disjoint 1,000-case package / adapter initialization only",Invalid before the first response because the synthetic course owner and domain-model approver identities differed,"Apply the one permitted identity-binding correction; do not change methods, data, gold, gates, or selection rules",invalid,research/05_evaluation/final-cross-method-factual-confirmation-001-attempt-001-invalid-results.md,True,research/05_evaluation/records/final-cross-method-factual-confirmation-001-attempt-001-invalid.json,True,research/05_evaluation/final-cross-method-factual-confirmation-001-attempt-001-invalid-results.md;research/05_evaluation/records/final-cross-method-factual-confirmation-001-attempt-001-invalid.json,"Clean revision `6702516`; 0 responses, provider calls, tokens, or cost; hidden gold unopened",46
professor-fidelity-proxy-c0-c3-003-analysis-correction-001,2026-09-05,Synthetic professor-profile C0–C3 proxy classification audit,Immutable 48 generation calls from proxy 003 / 12 cases × 4 conditions,"Completed Refine: transport, identity, and accounting were valid, but 3/12 C0 abstentions had empty responses; overall non-empty completeness 45/48; review never began","Treat the model-output contract failure as quality evidence, make no profile-uplift claim, and do not tune or rerun the same packet",refine,research/05_evaluation/professor-fidelity-proxy-c0-c3-003-analysis-correction-001-results.md,True,research/05_evaluation/records/professor-fidelity-proxy-c0-c3-003-analysis-correction-001.json,True,research/05_evaluation/professor-fidelity-proxy-c0-c3-003-analysis-correction-001-results.md;research/05_evaluation/records/professor-fidelity-proxy-c0-c3-003-analysis-correction-001.json,Zero-call correction over immutable raw result/ledger hashes; authorization revoked; real-professor fidelity remains open,47
professor-fidelity-proxy-c0-c3-003,2026-09-05,Schema-corrected blinded synthetic C0–C3 professor-profile proxy,12 synthetic cases × C0–C3 / 48 planned generation calls,Raw runner invalid after 48/48 completed calls: 3 C0 abstentions violated the non-empty response contract; 0/24 advisory reviews ran,Preserve the raw status and use the separate analysis correction for the stricter Refine interpretation,other,research/05_evaluation/professor-fidelity-proxy-c0-c3-003-invalid-results.md,True,research/05_evaluation/records/professor-fidelity-proxy-c0-c3-003-invalid.json,True,research/05_evaluation/professor-fidelity-proxy-c0-c3-003-invalid-results.md;research/05_evaluation/records/professor-fidelity-proxy-c0-c3-003-invalid.json,"Clean revision `4ee5f7e`; 18,196/6,233 tokens; USD 0.0416955; zero provider failures, retries, identity drift, or private data",48
local-r1-governed-v2-1-release-qualification-008,2026-09-05,Exact R1.2 operational composition with stateful clarification,Fresh local internal-CA HTTPS / synthetic identities and open demonstration material,"Completed Keep: 25/25 live, 6/6 restart, 6/6 clean restore, 3/3 T0 rollback, 3/3 V2.1 restoration; desktop/exact 390x844 smoke passed",Keep the local R1.2 research demo; retain text/OCR fallback and R1.1/T0 rollback boundaries,keep,research/05_evaluation/local-r1-governed-v2-1-release-qualification-008-results.md,True,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-008.json,True,research/05_evaluation/local-r1-governed-v2-1-release-qualification-008-results.md;research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-008.json,"Clean runtime revision `e86d664`; 43/43 checks; zero calls/cost; known 10,000+1,000 untouched",49
local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid,2026-09-05,Exact R1.2 local operational qualification,Fresh isolated Compose stack / synthetic identities and open demonstration material,"Invalid after 25/25 HTTPS and 6/6 restart checks: offline backup startup incorrectly required an inference credential, so restore and rollback were not evaluated","Fix the shared offline-administration configuration boundary once, preserve runtime credential enforcement, and rerun from a fresh clean revision/stack",invalid,research/05_evaluation/local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid-results.md,True,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid.json,True,research/05_evaluation/local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid-results.md;research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-008-attempt-001-invalid.json,"Clean revision `660381f`; zero provider calls/cost; known 10,000+1,000 untouched",50
stateful-clarification-confirmation-001,2026-09-05,One-turn source-bound clarification over the selected evidence gate,200 fresh public-synthetic actual-service cases / 160 answerable,"Completed Keep: candidate grounded completion 100% versus fail-closed control 25% (+75 points), with 100% boundary, invalid-reply, source-version, restart, and idempotency checks",Carry `stateful-source-clarification-v1` into exact local R1.2 requalification; retain R1.1 as rollback until it passes,keep,research/05_evaluation/stateful-clarification-confirmation-001-results.md,True,research/05_evaluation/records/stateful-clarification-confirmation-001.json,True,research/05_evaluation/stateful-clarification-confirmation-001-results.md;research/05_evaluation/records/stateful-clarification-confirmation-001.json,"Clean revision `b683183`; zero provider calls/cost; known 10,000+1,000 untouched; mechanism evidence only",51
true-visual-colpali-confirmation-001,2026-09-04,Direct multi-vector visual late-interaction retrieval,"Fresh 30 public educational visual assets: 10 tables, 10 equations, 10 diagrams / 30 answerable plus 30 reserved boundary cases",Completed Go Deeper: candidate reached 28/30 complete evidence@3 and 30/30 recall@5 versus 18/30 and 18/30 for BM25; all retrieval gates passed,Carry the candidate into one actual-product answer/boundary/citation checkpoint; do not yet select or claim representative multimodal product capability,go-deeper,research/05_evaluation/true-visual-colpali-confirmation-001-results.md,True,research/05_evaluation/records/true-visual-colpali-confirmation-001.json,True,research/05_evaluation/true-visual-colpali-confirmation-001-results.md;research/05_evaluation/records/true-visual-colpali-confirmation-001.json,"Clean revision `949e722`; first-party Jina v4, 60 calls, 144,639 tokens, USD 0.00723195; 10M-token account ceiling enforced; authority revoked; boundary gold unopened",52
local-r1-governed-v2-1-release-qualification-006,2026-09-04,Post-correction exact local R1 composition,Live internal-CA HTTPS / synthetic identities and open demonstration material,"Completed Keep: 25/25 live, 6/6 restart, 6/6 clean restore, 3/3 T0 rollback, 3/3 V2.1 restoration, and no critical browser defect",Keep the exact local research demo with T0 rollback; retain academic grounding No Release and the visual/fidelity claim boundaries,no-release,research/05_evaluation/local-r1-governed-v2-1-release-qualification-006-results.md,True,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-006.json,True,research/05_evaluation/local-r1-governed-v2-1-release-qualification-006-results.md;research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-006.json,"Clean revision `7901c9e`; image and artifact hashes pinned; zero calls/cost; known 10,000 package untouched",53
local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid,2026-09-04,Exact local R1 operational requalification,Startup binding preflight / immutable candidate-v3 profile,Invalid execution before journey: the API correctly rejected a documentation-only profile edit because it changed the frozen profile hash,"Restore only the exact immutable profile bytes, preserve the failure, rebuild, and permit one binding-only corrective attempt",invalid,research/05_evaluation/local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid-results.md,True,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid.json,True,research/05_evaluation/local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid-results.md;research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-006-attempt-001-invalid.json,"Clean revision `8e61f57`; 0/43 journey checks, zero calls/cost, sealed package untouched",54
governed-full-autonomy-v2-1-multi-concept-confirmation-025,2026-09-04,T1-v2 multi-concept learner assessment correction,72 fresh 30-day histories / six personas / two simulator families / three fresh seeds / six fresh concepts,"Completed Keep: both reactive and autonomous T1-v2 reached 100% attribution, assessment agreement, and attempt recognition with zero timing violations or provider calls",Keep the correction for exact local requalification; retain weak next-outcome prediction and 32.9% wasted interventions as limitations,keep,research/05_evaluation/governed-full-autonomy-v2-1-multi-concept-confirmation-025-results.md,True,research/05_evaluation/records/governed-full-autonomy-v2-1-multi-concept-confirmation-025.json,True,research/05_evaluation/governed-full-autonomy-v2-1-multi-concept-confirmation-025-results.md;research/05_evaluation/records/governed-full-autonomy-v2-1-multi-concept-confirmation-025.json,"Clean revision `f4c2449`; actual services, SQLite, LangGraph, worker/outbox, and VirtualClock; synthetic-only; known 10,000 package untouched",55
local-r1-governed-v2-1-release-qualification-005,2026-09-04,Exact Luna H+E1 local operational composition,Live internal-CA HTTPS on the development Mac / synthetic identities and open demonstration material,"Completed Keep for local research demo: 25/25 live journey, 6/6 restart, 6/6 clean restore, 3/3 T0 rollback, 3/3 governed restoration",Keep the exact local operational composition with T0 rollback; retain academic factual grounding as No Release,no-release,research/05_evaluation/local-r1-governed-v2-1-release-qualification-005-results.md,True,research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-005.json,True,research/05_evaluation/local-r1-governed-v2-1-release-qualification-005-results.md;research/05_evaluation/records/local-r1-governed-v2-1-release-qualification-005.json,Clean revision `cbdfca6`; image digests pinned; zero provider calls/cost; deterministic fast path means Luna behavior was not retested; sealed package untouched,56
grounding-floor-audit-reproduction-001,2026-09-04,Selection-004 metric correction and grounding-floor audit reproduction,Hash-verified selection-003 ledgers / 500 development cases / 344 regions,Completed corrected: answerable factual success is 42.50% versus 26.00%; the historical 50.00% versus 36.80% values are overall task success; central tie-safety finding reproduced but every historical count was not,"Keep the relative development selection, correct its claim, and treat the four audits as bounded mechanism evidence rather than proof of a universal task floor",keep,research/05_evaluation/grounding-floor-audit-reproduction-001-results.md,True,research/05_evaluation/records/grounding-floor-audit-reproduction-001.json,True,research/05_evaluation/grounding-floor-audit-reproduction-001-results.md;research/05_evaluation/records/grounding-floor-audit-reproduction-001.json,"Zero provider calls; verifies ledger metadata, response IDs, and payload hashes; sealed package untouched",57
governed-full-autonomy-v2-1-release-binding-correction-001,2026-09-04,Exact release provenance and configuration binding,Immutable confirmation-024 H+E1 result plus corrected selection-004 development evidence,"Completed binding correction: exact Luna H+E1, dominance gate, deterministic generator, profile hash, and T0 rollback are composed without creating new quality evidence",Use only for fresh local HTTPS qualification 005; it does not retroactively qualify the composed release or create an absolute grounding pass,other,research/05_evaluation/../04_experiments/2026-09-04-local-r1-governed-v2-1-release-qualification-005-plan.md,True,research/05_evaluation/records/governed-full-autonomy-v2-1-release-binding-correction-001.json,True,research/05_evaluation/../04_experiments/2026-09-04-local-r1-governed-v2-1-release-qualification-005-plan.md;research/05_evaluation/records/governed-full-autonomy-v2-1-release-binding-correction-001.json,Zero provider calls; startup now fails closed when the evidence-gate binding is absent or mismatched,58
wrong-region-selection-audit-001,2026-09-04,Wrong-region selection under the shipped gate,500 development cases / 344 regions / 44 answered-but-incomplete cases,"Completed no change: 42 of 44 cite the right document and the wrong region, the gold region is retrieved in 41 and falls below the coverage threshold in 31, and it is outranked after clearing the threshold in zero","Ship nothing; lowering the threshold from 0.50 to 0.25 leaves gold unchanged while doubling wrong leaders, so the measure itself is what limits grounding",other,research/05_evaluation/wrong-region-selection-audit-001-results.md,True,research/05_evaluation/records/wrong-region-selection-audit-001.json,True,research/05_evaluation/wrong-region-selection-audit-001-results.md;research/05_evaluation/records/wrong-region-selection-audit-001.json,Zero provider calls and no code change; converges with tie-resolution-hypothesis-audit-001 from the other side,59
